Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
D2O	Water	5887.33968910, 5887.33968910	15(5,10)-16(2,15)	-6.09850		1543.7765	2221.1372	CDMS
D2O	Water	5887.33977260, 5887.33977260	15(5,10)-16(2,15)	-6.10300		1543.7764	2221.1371	CDMS
H218Ov=0	Water	5888.36516850, 5888.36516850	9(2,8)-8(1,7)	-0.59430		879.4953	1265.3903	JPL
H2Ov2,2v2,v1,v3	Water	5888.73830890, 5888.73830890	15(3,12),v2=2-16(2,15),v2=2	-12.86020		6149.4942	8847.7622	JPL
H2Ov2,2v2,v1,v3	Water	5889.03146640, 5889.03146640	11(8,3),v1=1-12(4,8),v3=1	-15.03430		5933.5464	8537.0610	JPL
H2Ov2,2v2,v1,v3	Water	5889.52418530, 5889.52418530	8(6,3),v2=1-9(3,6),v2=1	-7.68000		2904.6705	4179.1785	JPL
H2Ov2,2v2,v1,v3	Water	5890.00010570, 5890.00010570	14(7,7),v2=1-14(6,8),v2=1	-8.65390		4784.9999	6884.5566	JPL
H218Ov=0	Water	5890.73167890, 5890.73167890	9(2,7)-8(3,6)	-0.60040		1001.7062	1441.2235	JPL
H2Ov2,2v2,v1,v3	Water	5891.99829370, 5891.99829370	12(2,10),v2=1-13(1,13),v2=1	-8.34910		3391.1309	4879.0874	JPL
H2Ov2,2v2,v1,v3	Water	5892.95623110, 5892.95623110	16(6,11),v3=1-15(7,8),v3=1	-14.63770		7309.4717	10516.7132	JPL
HDO	Water	5894.86982520, 5894.86982520	12(8,4)-13(6,7)	-6.98990		1958.3837	2817.6611	JPL
H2Ov=0	Water	5895.56736190, 5895.56736190	21(14,8)-20(15,5)	-15.73850		7802.7037	11226.3650	JPL
H2Ov=0	Water	5895.57079590, 5895.57079590	21(14,7)-20(15,6)	-15.26140		7802.7037	11226.3650	JPL
H2Ov2,2v2,v1,v3	Water	5895.86369850, 5895.86369850	12(8,5),v1=1-13(13,0),v2=1	-17.30500		6220.6308	8950.1120	JPL
H2Ov2,2v2,v1,v3	Water	5896.19156680, 5896.19156680	12(8,4),v1=1-13(13,1),v2=1	-17.78240		6220.6308	8950.1120	JPL
H2Ov2,2v2,v1,v3	Water	5897.44799710, 5897.44799710	18(9,9),v3=1-17(10,8),v3=1	-17.01790		8697.6292	12513.9649	JPL
D2O	Water	5897.60288160, 5897.60288160	20(0,20)-19(1,19)	-2.27160		1926.5366	2771.8405	CDMS
D2O	Water	5897.60359240, 5897.60359240	20(0,20)-19(1,19)	-2.26710		1926.5367	2771.8406	CDMS
D2O	Water	5897.60382840, 5897.60382840	20(1,20)-19(0,19)	-2.57260		1926.5366	2771.8405	CDMS
D2O	Water	5897.60453780, 5897.60453780	20(1,20)-19(0,19)	-2.56810		1926.5366	2771.8405	CDMS
H2Ov=0	Water	5897.99068780, 5897.99068780	20(11,10)-19(12,7)	-12.31200		6467.4038	9305.1638	JPL
H2Ov=0	Water	5898.93537780, 5898.93537780	20(11,9)-19(12,8)	-12.78900		6467.4032	9305.1629	JPL
D2O	Water	5899.13312340, 5899.13312340	17(14,3)-17(13,4)	-6.04290		3278.4460	4716.9254	CDMS
D2O	Water	5899.13312450, 5899.13312450	17(14,4)-17(13,5)	-5.74180		3278.4460	4716.9254	CDMS
D2O	Water	5899.13355590, 5899.13355590	17(14,3)-17(13,4)	-6.03840		3278.4460	4716.9254	CDMS
D2O	Water	5899.13355700, 5899.13355700	17(14,4)-17(13,5)	-5.73730		3278.4460	4716.9254	CDMS
H2Ov2,2v2,v1,v3	Water	5899.37633160, 5899.37633160	20(9,12),v=0-19(2,17),v2=1	-15.90790		5970.9289	8590.8462	JPL
H2Ov2,2v2,v1,v3	Water	5899.98929510, 5899.98929510	10(6,5),v1=1-11(5,6),v2=2	-13.10270		5300.1782	7625.7843	JPL
H2Ov2,2v2,v1,v3	Water	5900.06725510, 5900.06725510	15(5,10),v2=2-14(6,9),v2=2	-12.27370		6445.0832	9273.0494	JPL
H2Ov2,2v2,v1,v3	Water	5900.44221960, 5900.44221960	13(10,3),v2=1-12(1,12),v1=1	-16.93070		5184.7345	7459.6863	JPL
H2Ov2,2v2,v1,v3	Water	5900.84298140, 5900.84298140	17(8,9),v3=1-16(9,8),v3=1	-16.18550		8073.8719	11616.5161	JPL
H2Ov2,2v2,v1,v3	Water	5900.93020920, 5900.93020920	9(8,1),v3=1-10(6,4),v1=1	-17.12650		5497.2156	7909.2775	JPL
HDO	Water	5902.60899500, 5902.60899500	12(8,5)-13(6,8)	-6.98860		1958.1254	2817.2895	JPL
H2Ov=0	Water	5902.90876900, 5902.90876900	22(11,11)-23(8,16)	-16.73350		7459.6776	10732.8263	JPL
H2Ov2,2v2,v1,v3	Water	5903.47177660, 5903.47177660	12(8,4),v3=1-13(5,9),v3=1	-14.75580		6292.1196	9052.9686	JPL
H2Ov2,2v2,v1,v3	Water	5903.69500660, 5903.69500660	15(4,11),v2=1-14(13,2),v=0	-17.13320		4697.6599	6758.8937	JPL
H2Ov2,2v2,v1,v3	Water	5904.18183310, 5904.18183310	13(9,4),v2=2-14(6,9),v1=1	-17.18380		6676.4694	9605.9629	JPL
H2Ov=0	Water	5904.54110750, 5904.54110750	11(7,4)-12(4,9)	-5.79590		2124.9514	3057.3351	JPL
H2Ov2,2v2,v1,v3	Water	5905.09142690, 5905.09142690	6(3,4),v3=1-6(1,5),v1=1	-9.80220		4190.2621	6028.8605	JPL
H2Ov2,2v2,v1,v3	Water	5905.60603870, 5905.60603870	6(3,4),v1=1-5(2,3),v1=1	-7.20050		4095.9201	5893.1232	JPL
D2O	Water	5906.17088710, 5906.17088710	19(1,18)-18(2,17)	-2.61310		1909.6206	2747.5023	CDMS
D2O	Water	5906.17115490, 5906.17115490	19(1,18)-18(2,17)	-2.61760		1909.6206	2747.5023	CDMS
H2Ov2,2v2,v1,v3	Water	5906.25846440, 5906.25846440	20(8,13),v3=1-20(7,14),v3=1	-18.00730		9391.3554	13512.0835	JPL
D2O	Water	5906.28456540, 5906.28456540	19(2,18)-18(1,17)	-2.31200		1909.6181	2747.4987	CDMS
D2O	Water	5906.28486840, 5906.28486840	19(2,18)-18(1,17)	-2.31650		1909.6181	2747.4987	CDMS
H2Ov2,2v2,v1,v3	Water	5907.31451040, 5907.31451040	4(4,0),v3=1-4(1,3),v3=1	-9.61060		4027.8040	5795.1192	JPL
D2O	Water	5907.78035210, 5907.78035210	18(2,16)-17(3,15)	-2.32780		1866.4801	2685.4331	CDMS
D2O	Water	5907.78084530, 5907.78084530	18(2,16)-17(3,15)	-2.32330		1866.4801	2685.4331	CDMS
H2Ov2,2v2,v1,v3	Water	5907.96221280, 5907.96221280	16(5,12),v1=1-16(4,13),v1=1	-12.83710		7032.2312	10117.8255	JPL
H2Ov2,2v2,v1,v3	Water	5907.97004340, 5907.97004340	9(8,2),v3=1-10(6,5),v1=1	-16.27940		5496.9806	7908.9394	JPL
H218Ov=0	Water	5908.46836520, 5908.46836520	11(1,10)-11(0,11)	-1.54070		1321.4552	1901.2683	JPL
HDO	Water	5908.50357220, 5908.50357220	7(3,4)-6(2,5)	-0.00680		384.8754	553.7467	JPL
H2Ov2,2v2,v1,v3	Water	5909.67665210, 5909.67665210	6(4,3),v1=1-6(5,2),v2=2	-10.68500		4197.3388	6039.0423	JPL
H2Ov2,2v2,v1,v3	Water	5909.97630980, 5909.97630980	4(2,2),v3=1-5(4,1),v2=2	-11.16530		3868.9870	5566.6166	JPL
H2Ov2,2v2,v1,v3	Water	5913.19950030, 5913.19950030	13(7,6),v2=2-13(4,9),v1=1	-12.45960		6148.6818	8846.5933	JPL
HDO	Water	5913.36977960, 5913.36977960	14(1,13)-13(2,12)	-1.44230		1406.6564	2023.8531	JPL
D2O	Water	5913.48645750, 5913.48645750	18(3,16)-17(2,15)	-2.62780		1866.3547	2685.2527	CDMS
D2O	Water	5913.48664590, 5913.48664590	18(3,16)-17(2,15)	-2.62330		1866.3547	2685.2527	CDMS
H2Ov=0	Water	5913.84390980, 5913.84390980	10(3,7)-9(4,6)	-1.99670		1340.8849	1929.2368	JPL
HDO	Water	5913.85443360, 5913.85443360	15(0,15)-14(1,14)	-1.35870		1432.7577	2061.4069	JPL
HDO	Water	5914.03080500, 5914.03080500	15(1,15)-14(1,14)	-2.16510		1432.7577	2061.4069	JPL
HDO	Water	5914.20997420, 5914.20997420	15(0,15)-14(0,14)	-2.16510		1432.7458	2061.3898	JPL
HDO	Water	5914.38634560, 5914.38634560	15(1,15)-14(0,14)	-1.35860		1432.7458	2061.3898	JPL
HDO	Water	5915.00352850, 5915.00352850	16(1,15)-16(1,16)	-4.63670		1839.7553	2646.9823	JPL
HDO	Water	5915.09096160, 5915.09096160	16(1,15)-16(0,16)	-2.93160		1839.7523	2646.9780	JPL
H2Ov2,2v2,v1,v3	Water	5915.56611820, 5915.56611820	13(10,4),v=0-12(1,11),v2=1	-14.43010		3386.0524	4871.7806	JPL
H218Ov=0	Water	5915.63878600, 5915.63878600	11(2,10)-11(1,11)	-2.01710		1321.4616	1901.2775	JPL
H2Ov2,2v2,v1,v3	Water	5916.28186020, 5916.28186020	4(3,2),v3=1-4(1,3),v1=1	-10.47620		3927.8028	5651.2396	JPL
H2Ov2,2v2,v1,v3	Water	5916.56707040, 5916.56707040	11(4,7),v3=1-10(5,6),v3=1	-10.76310		5434.4840	7819.0206	JPL
H2Ov2,2v2,v1,v3	Water	5916.90125800, 5916.90125800	10(3,7),v3=1-10(3,8),v1=1	-11.97490		5076.2662	7303.6244	JPL
H2Ov2,2v2,v1,v3	Water	5917.93355020, 5917.93355020	12(1,11),v2=2-11(10,2),v2=1	-16.90320		4769.2324	6861.8707	JPL
H218Ov=0	Water	5918.32854370, 5918.32854370	10(5,5)-11(2,10)	-5.33130		1518.7861	2185.1818	JPL
H2Ov=0	Water	5918.50075230, 5918.50075230	21(15,7)-20(16,4)	-16.47190		8100.2854	11654.5193	JPL
H2Ov=0	Water	5918.50096800, 5918.50096800	21(15,6)-20(16,5)	-15.99480		8100.2854	11654.5193	JPL
HDO	Water	5918.95576270, 5918.95576270	16(2,15)-16(1,16)	-2.93120		1839.7553	2646.9823	JPL
HDO	Water	5919.04319570, 5919.04319570	16(2,15)-16(0,16)	-4.63630		1839.7523	2646.9780	JPL
H2Ov=0	Water	5920.75467020, 5920.75467020	9(2,8)-8(1,7)	-0.59900		882.8904	1270.2840	JPL
H2Ov2,2v2,v1,v3	Water	5920.77318610, 5920.77318610	13(8,6),v3=1-13(8,5),v2=2	-13.38280		6602.4604	9499.4803	JPL
D2O	Water	5920.90389470, 5920.90389470	6(5,2)-6(2,5)	-2.97870		288.0938	414.5003	CDMS
D2O	Water	5920.90391050, 5920.90391050	6(5,2)-6(2,5)	-2.97420		288.0938	414.5003	CDMS
H2Ov2,2v2,v1,v3	Water	5922.36878220, 5922.36878220	12(11,2),v=0-11(2,9),v2=1	-17.05180		3314.8557	4769.3443	JPL
H2Ov2,2v2,v1,v3	Water	5923.48287430, 5923.48287430	13(8,5),v3=1-13(8,6),v2=2	-13.93640		6602.4685	9499.4920	JPL
D2O	Water	5924.52071580, 5924.52071580	18(14,4)-18(13,5)	-6.11340		3499.9549	5035.6254	CDMS
D2O	Water	5924.52072160, 5924.52072160	18(14,5)-18(13,6)	-6.41440		3499.9549	5035.6254	CDMS
D2O	Water	5924.52259400, 5924.52259400	18(14,4)-18(13,5)	-6.10900		3499.9550	5035.6256	CDMS
D2O	Water	5924.52259980, 5924.52259980	18(14,5)-18(13,6)	-6.41000		3499.9550	5035.6256	CDMS
H2Ov2,2v2,v1,v3	Water	5925.01703290, 5925.01703290	11(0,11),v3=1-10(4,6),v2=2	-12.14760		4864.3733	6998.7574	JPL
H2Ov2,2v2,v1,v3	Water	5925.35879350, 5925.35879350	5(3,2),v3=1-5(5,1),v2=2	-12.59610		4050.5038	5827.7792	JPL
H2Ov2,2v2,v1,v3	Water	5925.94159270, 5925.94159270	13(5,8),v2=1-13(12,1),v=0	-15.32310		4087.9795	5881.6984	JPL
HDO	Water	5927.09899450, 5927.09899450	14(2,13)-13(2,12)	-2.15030		1406.6564	2023.8531	JPL
H2Ov2,2v2,v1,v3	Water	5927.29962390, 5927.29962390	20(9,11),v2=1-19(10,10),v2=1	-15.31930		7738.0491	11133.3413	JPL
H2Ov=0	Water	5928.03357040, 5928.03357040	11(1,10)-11(0,11)	-1.56480		1327.1100	1909.4178	JPL
H2Ov2,2v2,v1,v3	Water	5928.52861510, 5928.52861510	11(7,5),v2=2-11(3,8),v3=1	-13.26590		5543.6369	7976.0675	JPL
H2Ov2,2v2,v1,v3	Water	5929.24930700, 5929.24930700	10(3,7),v1=1-9(4,6),v1=1	-9.55000		4971.2607	7152.5447	JPL
HDO	Water	5930.55453270, 5930.55453270	9(5,4)-10(1,9)	-5.60570		885.0644	1273.4029	JPL
H2Ov2,2v2,v1,v3	Water	5931.95051230, 5931.95051230	15(2,14),v2=1-15(9,7),v=0	-13.47330		4045.2856	5820.2713	JPL
H2Ov2,2v2,v1,v3	Water	5932.10651820, 5932.10651820	10(5,5),v1=1-11(2,10),v1=1	-12.87430		5153.5348	7414.7968	JPL
H2Ov2,2v2,v1,v3	Water	5933.24088080, 5933.24088080	13(5,8),v2=2-14(10,5),v2=1	-15.56960		5721.0974	8231.3939	JPL
D2O	Water	5933.98383690, 5933.98383690	20(11,10)-21(8,13)	-9.28790		3409.6607	4905.7130	CDMS
D2O	Water	5933.98788440, 5933.98788440	20(11,10)-21(8,13)	-9.29300		3409.6605	4905.7127	CDMS
H2Ov2,2v2,v1,v3	Water	5933.99723860, 5933.99723860	12(3,10),v1=1-13(10,3),v2=1	-15.09590		5381.5520	7742.8632	JPL
H2Ov2,2v2,v1,v3	Water	5934.89308270, 5934.89308270	12(5,8),v2=2-12(4,9),v2=2	-10.06110		5389.5521	7754.3735	JPL
H2Ov=0	Water	5936.44220310, 5936.44220310	11(2,10)-11(1,11)	-2.04100		1327.1176	1909.4287	JPL
H2Ov=0	Water	5937.27223070, 5937.27223070	19(8,11)-20(5,16)	-11.78020		5294.0364	7616.9476	JPL
H2Ov2,2v2,v1,v3	Water	5937.36699640, 5937.36699640	10(1,9),v2=1-10(0,10),v2=1	-4.89000		2705.0969	3892.0362	JPL
HDO	Water	5938.50576770, 5938.50576770	14(1,13)-13(1,12)	-2.14700		1405.8179	2022.6467	JPL
H2Ov2,2v2,v1,v3	Water	5938.66622050, 5938.66622050	16(10,7),v2=1-16(1,16),v1=1	-18.05120		6267.0318	9016.8728	JPL
H2Ov2,2v2,v1,v3	Water	5938.89587590, 5938.89587590	5(3,2),v3=1-4(2,3),v3=1	-8.24590		4050.0523	5827.1296	JPL
HDO	Water	5939.46734930, 5939.46734930	13(9,5)-12(9,4)	-4.50100		2392.8517	3442.7600	JPL
HDO	Water	5939.46748870, 5939.46748870	13(9,4)-12(9,3)	-4.50100		2392.8517	3442.7600	JPL
H2Ov2,2v2,v1,v3	Water	5941.12242500, 5941.12242500	12(6,7),v3=1-13(12,2),v2=1	-18.03600		5935.5998	8540.0154	JPL
H2Ov2,2v2,v1,v3	Water	5941.18296170, 5941.18296170	18(3,15),v1=1-17(6,12),v2=2	-18.31110		7581.5342	10908.1510	JPL
H2Ov2,2v2,v1,v3	Water	5943.21265420, 5943.21265420	14(10,4),v2=1-14(1,13),v2=2	-16.79530		5522.8534	7946.1646	JPL
H2Ov2,2v2,v1,v3	Water	5944.20039410, 5944.20039410	20(6,15),v2=1-19(7,12),v2=1	-13.51420		7023.9775	10105.9502	JPL
H2Ov2,2v2,v1,v3	Water	5946.01075480, 5946.01075480	17(10,8),v3=1-18(8,11),v2=2	-18.23680		8499.2916	12228.6009	JPL
H2Ov2,2v2,v1,v3	Water	5946.13064190, 5946.13064190	19(12,7),v=0-19(3,16),v2=1	-17.47680		6269.0622	9019.7941	JPL
H2Ov=0	Water	5946.44721980, 5946.44721980	8(8,0)-8(7,1)	-2.76120		1590.6907	2288.6521	JPL
H2Ov=0	Water	5946.46637150, 5946.46637150	8(8,1)-8(7,2)	-2.28400		1590.6901	2288.6513	JPL
HDO	Water	5947.00887090, 5947.00887090	12(3,9)-11(3,8)	-1.80770		1206.7544	1736.2404	JPL
H2Ov2,2v2,v1,v3	Water	5947.44304530, 5947.44304530	18(7,11),v2=2-18(6,12),v2=2	-15.36120		8057.7029	11593.2525	JPL
H2Ov2,2v2,v1,v3	Water	5947.63298300, 5947.63298300	13(4,10),v3=1-14(2,13),v1=1	-14.88610		5940.6377	8547.2638	JPL
H2Ov2,2v2,v1,v3	Water	5948.09234690, 5948.09234690	12(11,1),v3=1-13(9,4),v1=1	-17.01020		6946.7014	9994.7670	JPL
H2Ov2,2v2,v1,v3	Water	5948.14423880, 5948.14423880	12(11,2),v3=1-13(9,5),v1=1	-17.48720		6946.6997	9994.7646	JPL
H2Ov2,2v2,v1,v3	Water	5948.51000110, 5948.51000110	19(6,14),v1=1-18(7,11),v1=1	-17.05860		8439.8977	12143.1463	JPL
H2Ov=0	Water	5948.66811000, 5948.66811000	20(17,4)-19(18,1)	-16.81330		8199.2155	11796.8578	JPL
H2Ov=0	Water	5948.66811010, 5948.66811010	20(17,3)-19(18,2)	-17.29040		8199.2155	11796.8578	JPL
D2O	Water	5948.93945210, 5948.93945210	19(14,5)-19(13,6)	-6.82680		3732.9205	5370.8090	CDMS
D2O	Water	5948.93947820, 5948.93947820	19(14,6)-19(13,7)	-6.52570		3732.9205	5370.8090	CDMS
D2O	Water	5948.94077530, 5948.94077530	19(14,5)-19(13,6)	-6.82240		3732.9206	5370.8092	CDMS
D2O	Water	5948.94080140, 5948.94080140	19(14,6)-19(13,7)	-6.52140		3732.9206	5370.8092	CDMS
D2O	Water	5950.93054250, 5950.93054250	10(8,2)-11(5,7)	-5.15710		1043.5042	1501.3611	CDMS
D2O	Water	5950.93058470, 5950.93058470	10(8,2)-11(5,7)	-5.16160		1043.5042	1501.3611	CDMS
D2O	Water	5951.41399940, 5951.41399940	17(10,7)-18(7,12)	-7.64920		2546.0326	3663.1519	CDMS
D2O	Water	5951.41433680, 5951.41433680	17(10,7)-18(7,12)	-7.65400		2546.0326	3663.1519	CDMS
HDO	Water	5952.23498260, 5952.23498260	14(2,13)-13(1,12)	-1.43550		1405.8179	2022.6467	JPL
H2Ov=0	Water	5952.54972240, 5952.54972240	14(8,6)-14(7,7)	-5.50950		3266.5143	4699.7917	JPL
H2Ov2,2v2,v1,v3	Water	5953.00264320, 5953.00264320	21(10,12),v=0-20(3,17),v2=1	-17.49190		6694.7426	9632.2540	JPL
HDO	Water	5953.52253960, 5953.52253960	8(3,5)-8(1,8)	-3.28620		513.2071	738.3863	JPL
H2Ov2,2v2,v1,v3	Water	5953.84831080, 5953.84831080	13(3,10),v1=1-12(3,9),v3=1	-12.88200		5830.2594	8388.4539	JPL
H2Ov2,2v2,v1,v3	Water	5954.33376120, 5954.33376120	9(3,7),v3=1-10(1,10),v1=1	-13.01700		4750.3878	6834.7575	JPL
H2Ov2,2v2,v1,v3	Water	5954.47733280, 5954.47733280	7(7,0),v2=2-6(5,1),v3=1	-11.82190		4613.5732	6637.9115	JPL
D2O	Water	5955.43001400, 5955.43001400	9(3,6)-8(2,7)	-0.92500		460.7656	662.9351	CDMS
D2O	Water	5955.43004850, 5955.43004850	9(3,6)-8(2,7)	-0.92050		460.7656	662.9351	CDMS
H2Ov2,2v2,v1,v3	Water	5955.69144590, 5955.69144590	11(6,5),v1=1-11(4,8),v3=1	-12.73940		5563.3997	8004.5018	JPL
H2Ov2,2v2,v1,v3	Water	5955.88344270, 5955.88344270	7(7,1),v2=2-6(5,2),v3=1	-12.29840		4613.5262	6637.8439	JPL
H2Ov2,2v2,v1,v3	Water	5955.93119460, 5955.93119460	8(1,8),v1=1-7(4,3),v2=2	-11.16990		4188.3943	6026.1731	JPL
H2Ov2,2v2,v1,v3	Water	5957.69559380, 5957.69559380	9(2,7),v3=1-8(3,6),v3=1	-8.84840		4741.0670	6821.3469	JPL
H2Ov2,2v2,v1,v3	Water	5957.81897660, 5957.81897660	22(4,18),v2=1-23(3,21),v2=1	-16.53620		7704.2548	11084.7188	JPL
D2O	Water	5958.77239830, 5958.77239830	7(7,1)-6(6,0)	0.07170		582.4085	837.9511	CDMS
D2O	Water	5958.77241410, 5958.77241410	7(7,1)-6(6,0)	0.06720		582.4085	837.9511	CDMS
D2O	Water	5958.77403090, 5958.77403090	7(7,0)-6(6,1)	-0.22930		582.4085	837.9511	CDMS
D2O	Water	5958.77404670, 5958.77404670	7(7,0)-6(6,1)	-0.23390		582.4085	837.9511	CDMS
D2O	Water	5959.11331450, 5959.11331450	10(5,6)-9(4,5)	-0.69760		708.1702	1018.8931	CDMS
D2O	Water	5959.11333430, 5959.11333430	10(5,6)-9(4,5)	-0.69310		708.1702	1018.8931	CDMS
H2Ov2,2v2,v1,v3	Water	5960.71274890, 5960.71274890	16(6,10),v1=1-17(2,15),v3=1	-17.85020		7262.7990	10449.5616	JPL
D2O	Water	5962.40722750, 5962.40722750	13(6,7)-13(3,10)	-3.03250		1251.5529	1800.6951	CDMS
D2O	Water	5962.40727200, 5962.40727200	13(6,7)-13(3,10)	-3.02800		1251.5529	1800.6951	CDMS
H2Ov2,2v2,v1,v3	Water	5962.57852860, 5962.57852860	20(7,14),v2=2-19(8,11),v2=2	-17.36570		8946.0756	12871.4243	JPL
H2Ov=0	Water	5963.22677520, 5963.22677520	20(11,10)-21(8,13)	-14.39600		6465.2277	9302.0328	JPL
D2O	Water	5963.86694110, 5963.86694110	25(8,17)-24(9,16)	-8.44590		4376.5186	6296.7978	CDMS
D2O	Water	5963.86940720, 5963.86940720	25(8,17)-24(9,16)	-8.45050		4376.5182	6296.7972	CDMS
H2Ov2,2v2,v1,v3	Water	5964.04445520, 5964.04445520	18(9,9),v3=1-18(8,10),v3=1	-16.15050		8695.4077	12510.7686	JPL
H2Ov2,2v2,v1,v3	Water	5965.48281060, 5965.48281060	6(4,3),v1=1-6(0,6),v3=1	-9.75840		4195.4773	6036.3640	JPL
H2Ov2,2v2,v1,v3	Water	5965.80438470, 5965.80438470	10(4,7),v3=1-11(4,8),v2=2	-12.58100		5105.7297	7346.0159	JPL
H2Ov2,2v2,v1,v3	Water	5966.48838790, 5966.48838790	6(2,4),v1=1-5(5,1),v2=2	-13.17750		4050.5038	5827.7792	JPL
H2Ov2,2v2,v1,v3	Water	5967.74065820, 5967.74065820	15(11,5),v2=1-14(2,12),v1=1	-17.67210		6161.1322	8864.5067	JPL
H2Ov2,2v2,v1,v3	Water	5968.80886820, 5968.80886820	18(6,13),v3=1-18(5,14),v3=1	-15.45120		8112.8607	11672.6123	JPL
H2Ov2,2v2,v1,v3	Water	5968.81697350, 5968.81697350	8(2,6),v3=1-8(2,7),v1=1	-13.20140		4525.9640	6511.8613	JPL
H2Ov2,2v2,v1,v3	Water	5969.39548420, 5969.39548420	21(10,12),v2=1-20(11,9),v2=1	-16.87200		8487.9175	12212.2361	JPL
H2Ov2,2v2,v1,v3	Water	5970.95616670, 5970.95616670	21(3,18),v2=1-22(8,15),v=0	-17.36120		6937.4063	9981.3934	JPL
D2O	Water	5972.14470190, 5972.14470190	20(14,6)-20(13,7)	-6.96890		3977.2298	5722.3136	CDMS
D2O	Water	5972.14480530, 5972.14480530	20(14,7)-20(13,8)	-7.27000		3977.2298	5722.3136	CDMS
D2O	Water	5972.14550340, 5972.14550340	20(14,6)-20(13,7)	-6.97330		3977.2298	5722.3136	CDMS
D2O	Water	5972.14560650, 5972.14560650	20(14,7)-20(13,8)	-7.27430		3977.2298	5722.3136	CDMS
H2Ov=0	Water	5972.38032220, 5972.38032220	9(8,1)-9(7,2)	-2.46180		1810.5880	2605.0357	JPL
H2Ov=0	Water	5972.51707620, 5972.51707620	9(8,2)-9(7,3)	-2.93890		1810.5833	2605.0289	JPL
H2Ov=0	Water	5973.45995800, 5973.45995800	21(13,9)-20(14,6)	-15.01950		7507.5787	10801.7454	JPL
H2Ov=0	Water	5973.51269120, 5973.51269120	21(13,8)-20(14,7)	-14.54230		7507.5787	10801.7454	JPL
HDO	Water	5973.72223270, 5973.72223270	13(8,6)-12(8,5)	-3.92510		2155.0153	3100.5685	JPL
HDO	Water	5973.72927120, 5973.72927120	13(8,5)-12(8,4)	-3.92510		2155.0154	3100.5686	JPL
HDO	Water	5974.24885890, 5974.24885890	8(3,5)-8(0,8)	-1.64040		512.5157	737.3915	JPL
D2O	Water	5974.32247910, 5974.32247910	8(2,6)-7(1,7)	-0.88950		305.7668	439.9277	CDMS
D2O	Water	5974.32248560, 5974.32248560	8(2,6)-7(1,7)	-0.89400		305.7669	439.9278	CDMS
H2Ov2,2v2,v1,v3	Water	5974.52671050, 5974.52671050	10(2,9),v2=1-10(1,10),v2=1	-4.40930		2705.1396	3892.0976	JPL
H2Ov2,2v2,v1,v3	Water	5975.14884030, 5975.14884030	9(2,8),v2=2-9(1,9),v2=2	-7.72170		4068.9311	5854.2920	JPL
H2Ov2,2v2,v1,v3	Water	5975.48175060, 5975.48175060	5(1,5),v3=1-4(1,4),v1=1	-9.33400		3877.5752	5578.9732	JPL
D2O	Water	5975.84578630, 5975.84578630	21(1,20)-21(0,21)	-4.32860		2329.3449	3351.3884	CDMS
D2O	Water	5975.85152450, 5975.85152450	21(1,20)-21(0,21)	-4.33320		2329.3448	3351.3883	CDMS
D2O	Water	5975.85512410, 5975.85512410	21(2,20)-21(1,21)	-4.02760		2329.3449	3351.3884	CDMS
D2O	Water	5975.86087200, 5975.86087200	21(2,20)-21(1,21)	-4.03210		2329.3448	3351.3883	CDMS
H2Ov2,2v2,v1,v3	Water	5977.58702140, 5977.58702140	14(3,11),v2=1-14(2,12),v2=1	-7.50370		4183.3891	6018.9717	JPL
HDO	Water	5979.25982830, 5979.25982830	8(4,4)-8(2,7)	-3.10660		609.9464	877.5718	JPL
HDO	Water	5979.80504710, 5979.80504710	8(5,3)-9(2,8)	-3.74780		743.0972	1069.1450	JPL
HDO	Water	5980.28064430, 5980.28064430	6(4,3)-5(3,2)	0.25650		374.4099	538.6892	JPL
H2Ov2,2v2,v1,v3	Water	5981.74087790, 5981.74087790	21(10,11),v2=1-20(11,10),v2=1	-16.39300		8487.8980	12212.2081	JPL
H2Ov2,2v2,v1,v3	Water	5982.01415590, 5982.01415590	16(1,15),v2=2-16(8,8),v2=1	-15.55110		5949.8693	8560.5461	JPL
H2Ov=0	Water	5982.94041000, 5982.94041000	10(5,5)-11(2,10)	-5.16100		1525.1360	2194.3334	JPL
H2Ov2,2v2,v1,v3	Water	5983.47562260, 5983.47562260	4(4,0),v1=1-3(3,1),v1=1	-7.28450		3935.2111	5661.8985	JPL
H2Ov=0	Water	5985.31607100, 5985.31607100	27(8,19)-27(7,20)	-18.11120		9693.0471	13946.1511	JPL
HDO	Water	5985.63439380, 5985.63439380	11(3,9)-10(2,8)	-0.87660		964.8504	1388.1965	JPL
H2Ov2,2v2,v1,v3	Water	5986.04538900, 5986.04538900	4(4,1),v1=1-3(3,0),v1=1	-6.84810		3935.3446	5662.0906	JPL
H2Ov2,2v2,v1,v3	Water	5987.33890640, 5987.33890640	17(2,15),v1=1-16(5,12),v2=2	-16.66060		6957.1166	10009.7522	JPL
D2O	Water	5989.41977920, 5989.41977920	27(4,23)-27(3,24)	-8.19290		4470.4940	6432.0067	CDMS
D2O	Water	5989.42022760, 5989.42022760	27(4,23)-27(3,24)	-8.19750		4470.4915	6432.0031	CDMS
H2Ov2,2v2,v1,v3	Water	5989.80848400, 5989.80848400	19(5,14),v1=1-19(4,15),v1=1	-15.59460		8419.0837	12113.1995	JPL
