Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
D2O	Water	922.66651600, 922.66651600	7(3,4)-6(4,3)	-2.42860		405.2833	583.1089	CDMS
H2Ov2,2v2,v1,v3	Water	923.11334500, 923.11334500	6(2,5),v2=1-5(3,2),v2=1	-5.39850		2130.4943	3065.3101	JPL
D2O	Water	924.27415090, 924.27415090	17(11,7)-16(12,4)	-7.25490		2880.9910	4145.0796	CDMS
D2O	Water	924.27476260, 924.27476260	17(11,7)-16(12,4)	-7.24980		2880.9910	4145.0796	CDMS
D2O	Water	924.27570120, 924.27570120	17(11,6)-16(12,5)	-7.55590		2880.9910	4145.0796	CDMS
D2O	Water	924.27631380, 924.27631380	17(11,6)-16(12,5)	-7.55090		2880.9910	4145.0796	CDMS
H2Ov2,2v2,v1,v3	Water	926.18784700, 926.18784700	6(3,3),v2=1-5(4,2),v2=1	-6.19410		2251.6953	3239.6916	JPL
HDO	Water	927.31176480, 927.31176480	11(2,9)-10(4,6)	-5.31710		1110.7596	1598.1261	JPL
H2Ov2,2v2,v1,v3	Water	929.03942650, 929.03942650	16(1,16),v2=1-16(8,9),v=0	-14.97050		4206.3315	6051.9808	JPL
D2O	Water	930.94249400, 930.94249400	4(1,3)-3(2,2)	-1.35540		110.0340	158.3135	CDMS
D2O	Water	930.94250400, 930.94250400	4(1,3)-3(2,2)	-1.35090		110.0340	158.3135	CDMS
H2Ov2,2v2,v1,v3	Water	934.09859000, 934.09859000	20(4,17),v2=1-20(11,10),v=0	-18.99120		6664.1395	9588.2229	JPL
H2Ov2,2v2,v1,v3	Water	935.47194910, 935.47194910	14(9,5),v=0-13(2,12),v2=1	-16.55970		3654.2152	5257.6075	JPL
H2Ov2,2v2,v1,v3	Water	936.94259270, 936.94259270	18(6,13),v1=1-19(3,16),v1=1	-18.39750		8179.0415	11767.8319	JPL
H2Ov2,2v2,v1,v3	Water	938.39409930, 938.39409930	14(0,14),v2=1-15(7,9),v=0	-17.32430		3624.1815	5214.3957	JPL
HDO	Water	938.41003660, 938.41003660	9(2,8)-8(3,5)	-2.72570		711.7952	1024.1086	JPL
H2Ov2,2v2,v1,v3	Water	939.30214410, 939.30214410	8(4,5),v1=1-8(2,6),v3=1	-11.21840		4725.0623	6798.3197	JPL
H2Ov2,2v2,v1,v3	Water	939.79549620, 939.79549620	4(2,2),v1=1-3(3,1),v1=1	-9.96570		3935.2111	5661.8985	JPL
D2O	Water	940.34639200, 940.34639200	9(4,6)-8(5,3)	-2.58610		671.3356	965.8966	CDMS
D2O	Water	940.34639200, 940.34639200	9(4,6)-8(5,3)	-2.58160		671.3356	965.8966	CDMS
D2O	Water	940.35377730, 940.35377730	17(4,13)-18(3,16)	-6.57510		2063.6074	2969.0537	CDMS
D2O	Water	940.35407690, 940.35407690	17(4,13)-18(3,16)	-6.57960		2063.6074	2969.0537	CDMS
D2O	Water	940.46384800, 940.46384800	14(8,7)-13(9,4)	-5.28050		1827.7299	2629.6805	CDMS
D2O	Water	940.46384800, 940.46384800	14(8,7)-13(9,4)	-5.27590		1827.7299	2629.6805	CDMS
H2Ov2,2v2,v1,v3	Water	940.47208020, 940.47208020	11(6,5),v2=2-10(7,4),v2=2	-12.14660		5473.8025	7875.5912	JPL
D2O	Water	941.01382300, 941.01382300	14(8,6)-13(9,5)	-4.97890		1827.7297	2629.6802	CDMS
D2O	Water	941.01382300, 941.01382300	14(8,6)-13(9,5)	-4.97430		1827.7297	2629.6802	CDMS
H2Ov2,2v2,v1,v3	Water	941.06193530, 941.06193530	5(4,1),v1=1-4(4,0),v3=1	-10.76600		4224.8508	6078.6260	JPL
H2Ov2,2v2,v1,v3	Water	941.63834660, 941.63834660	12(10,3),v3=1-12(10,2),v2=2	-16.70070		6882.9480	9903.0400	JPL
H2Ov2,2v2,v1,v3	Water	941.63954160, 941.63954160	12(10,2),v3=1-12(10,3),v2=2	-16.22360		6882.9480	9903.0400	JPL
H2Ov2,2v2,v1,v3	Water	943.33754030, 943.33754030	9(4,6),v1=1-9(2,7),v3=1	-12.67330		4939.7944	7107.2717	JPL
D2O	Water	947.55651700, 947.55651700	2(2,1)-2(1,2)	-1.43410		42.0693	60.5280	CDMS
D2O	Water	947.55651700, 947.55651700	2(2,1)-2(1,2)	-1.42960		42.0693	60.5280	CDMS
H2Ov=0	Water	949.16391260, 949.16391260	24(7,18)-25(4,21)	-17.19170		7729.3348	11120.8034	JPL
H2Ov2,2v2,v1,v3	Water	950.34134020, 950.34134020	18(4,14),v1=1-17(7,11),v1=1	-18.42120		7970.1921	11467.3438	JPL
H2Ov2,2v2,v1,v3	Water	950.48136410, 950.48136410	10(7,4),v2=2-10(5,5),v3=1	-14.55430		5442.0979	7829.9753	JPL
H2Ov2,2v2,v1,v3	Water	950.89430020, 950.89430020	9(7,3),v3=1-8(8,0),v3=1	-13.04490		5475.7569	7878.4032	JPL
H2Ov2,2v2,v1,v3	Water	951.11880210, 951.11880210	9(7,2),v3=1-8(8,1),v3=1	-13.52180		5475.7569	7878.4032	JPL
D2O	Water	951.19408300, 951.19408300	8(3,6)-7(4,3)	-2.51750		492.8804	709.1409	CDMS
D2O	Water	951.19408300, 951.19408300	8(3,6)-7(4,3)	-2.51300		492.8804	709.1409	CDMS
H2Ov2,2v2,v1,v3	Water	951.43657250, 951.43657250	11(3,9),v1=1-12(1,12),v3=1	-15.53570		5289.1527	7609.9210	JPL
H2Ov2,2v2,v1,v3	Water	951.76235560, 951.76235560	10(2,8),v1=1-11(11,1),v2=1	-19.34250		5037.3408	7247.6194	JPL
D2O	Water	952.24274860, 952.24274860	10(4,7)-11(1,10)	-4.13100		794.4329	1143.0052	CDMS
D2O	Water	952.24281000, 952.24281000	10(4,7)-11(1,10)	-4.13550		794.4329	1143.0052	CDMS
H2Ov2,2v2,v1,v3	Water	953.68259500, 953.68259500	11(6,6),v2=2-10(7,3),v2=2	-12.59410		5473.8115	7875.6042	JPL
HDO	Water	954.41328800, 954.41328800	14(3,11)-15(2,14)	-5.67300		1814.5657	2610.7403	JPL
H2Ov2,2v2,v1,v3	Water	954.66409410, 954.66409410	16(6,11),v2=2-17(11,6),v2=1	-19.12570		7150.4054	10287.8520	JPL
HDO	Water	955.41235650, 955.41235650	17(5,12)-17(5,13)	-7.25000		2765.7527	3979.2783	JPL
H2Ov2,2v2,v1,v3	Water	956.12023420, 956.12023420	8(8,1),v2=2-9(7,2),v2=2	-12.48810		5229.5791	7524.2078	JPL
H2Ov2,2v2,v1,v3	Water	956.17337100, 956.17337100	8(8,0),v2=2-9(7,3),v2=2	-12.96520		5229.5773	7524.2052	JPL
H2Ov2,2v2,v1,v3	Water	956.90216410, 956.90216410	8(7,2),v2=2-8(5,3),v3=1	-14.16750		4977.0442	7160.8659	JPL
H2Ov2,2v2,v1,v3	Water	957.09544370, 957.09544370	12(6,7),v2=2-13(2,12),v3=1	-17.20590		5764.2042	8293.4151	JPL
H2Ov2,2v2,v1,v3	Water	957.19393040, 957.19393040	13(3,11),v3=1-12(4,8),v3=1	-13.73170		5933.5464	8537.0610	JPL
H2Ov2,2v2,v1,v3	Water	957.95182160, 957.95182160	3(0,3),v3=1-3(2,2),v1=1	-13.03590		3858.8755	5552.0684	JPL
H2Ov2,2v2,v1,v3	Water	958.44094640, 958.44094640	16(6,10),v2=2-15(6,9),v3=1	-17.34150		7167.3372	10312.2131	JPL
HDO	Water	958.56884910, 958.56884910	9(3,7)-8(4,4)	-2.72340		809.3930	1164.5293	JPL
H2Ov2,2v2,v1,v3	Water	959.11581700, 959.11581700	14(11,4),v2=2-14(11,3),v3=1	-17.90760		7797.5448	11218.9425	JPL
H2Ov2,2v2,v1,v3	Water	959.11983810, 959.11983810	14(11,3),v2=2-14(11,4),v3=1	-18.38470		7797.5447	11218.9424	JPL
H2Ov=0	Water	960.65471640, 960.65471640	16(8,9)-17(5,12)	-10.29190		4174.2875	6005.8765	JPL
